frame_index,rmsd_prev,rmsd_next,max_displacement,max_residue_id,mean_top_anomaly_displacement
187,2.2516,2.1264,13.3815,373,0.9993
192,1.7185,3.0739,12.4710,373,0.7758
182,2.3590,1.7681,13.7644,373,0.7657
172,1.7417,1.8210,12.8883,373,0.6470
177,1.8640,1.9346,13.5283,373,0.8861
114,2.0323,1.8471,9.8219,372,0.8969
167,2.4844,2.4105,17.3517,374,1.8835
119,1.0891,2.3256,4.3905,365,0.9252
124,1.6380,1.3039,7.5562,373,0.7615
109,2.3303,1.1751,18.0002,374,1.0670
104,1.9994,1.8911,14.0972,373,0.4955
129,2.3296,2.1312,15.7618,374,1.1614
149,2.1343,2.3802,15.0997,374,0.8456
162,1.5052,1.6426,8.7561,373,0.5998
134,2.2435,2.7278,11.4706,360,0.9069
95,1.6937,2.0002,8.5064,370,0.9206
144,2.1328,2.6084,14.7851,373,1.0606
154,1.6759,1.6074,10.8028,373,0.8398
99,1.9535,2.4016,11.0294,374,1.0011
159,1.6150,3.7323,9.7022,374,0.8668
36,1.3744,1.2843,7.2530,365,0.8392
90,1.1313,1.2065,5.5964,368,0.6954
139,1.4241,1.6376,8.6810,372,0.6545
3,2.7241,2.5376,18.2498,374,0.9057
100,2.4016,2.2593,17.6398,373,0.8597
8,2.2946,2.1885,11.9412,373,0.8437
46,2.8885,1.6934,15.9234,372,1.5120
163,1.6426,2.2641,9.3448,373,1.1819
157,2.0026,2.5409,9.8089,372,0.4928
105,1.8911,1.6661,11.8906,370,0.5497
18,2.5466,2.3494,17.6625,374,0.7265
115,1.8471,1.6811,7.6189,360,0.7311
51,1.4998,2.1502,10.5242,373,0.6254
41,2.0200,2.0378,9.5602,360,0.8351
13,2.0700,1.7917,10.7905,372,0.8959
31,1.7850,1.8654,10.1364,370,0.8383
86,1.5020,1.6057,8.3573,373,0.9202
81,2.3935,2.1595,13.7990,374,0.7222
56,1.2496,1.2892,6.8190,374,0.7530
26,1.0480,1.7529,4.1022,365,0.6174
158,2.5409,1.6150,16.8825,373,0.8286
180,2.6957,2.8546,20.0347,374,0.9511
110,1.1751,2.4570,5.9278,374,0.4903
94,2.0676,1.6937,11.5810,373,0.8141
164,2.2641,1.7779,14.0804,373,1.0595
189,1.9626,2.4255,11.1248,373,0.8136
21,1.5127,2.1691,10.2047,373,0.4870
16,2.8696,2.5002,13.0705,372,1.2695
116,1.6811,2.7093,8.7754,374,0.7419
61,1.1644,1.6800,6.1448,372,0.8977
120,2.3256,1.9947,15.6141,373,0.9136
126,1.5871,1.4419,10.1259,372,0.5221
190,2.4255,1.8287,18.2721,374,0.8402
121,1.9947,1.5742,14.4193,373,0.5297
153,1.0389,1.6759,5.0693,372,0.6053
175,2.5169,2.8525,16.1748,373,0.5272
71,1.4361,1.6651,10.4476,374,0.7109
23,2.5093,2.4673,11.8611,372,0.7272
91,1.2065,1.2797,7.0519,44,0.5203
76,2.5165,2.6528,15.5148,370,0.7174
151,1.4919,1.6106,8.3082,374,0.5810
152,1.6106,1.0389,7.2542,365,0.9855
11,1.1272,1.8306,7.2799,373,0.4457
132,2.0488,2.0900,10.7069,373,0.7718
35,2.5240,1.3744,17.8352,374,1.0632
85,1.9829,1.5020,10.7435,373,0.7268
66,1.5620,1.1234,8.2557,371,0.7244
168,2.4105,1.8448,17.3146,374,1.8210
89,1.0228,1.1313,6.4787,374,0.8073
111,2.4570,2.9914,14.5919,374,1.0465
131,2.1873,2.0488,15.2061,374,0.6165
40,1.7811,2.0200,8.3398,360,0.6675
185,2.1883,2.5713,11.4650,365,0.8703
84,3.7718,1.9829,21.9254,373,1.2264
169,1.8448,1.9046,10.3007,374,0.7597
82,2.1595,2.2608,13.6736,373,0.6741
