frame_index,anomaly_score
187,1.0
192,0.951411
182,0.944344
172,0.881227
177,0.859856
114,0.764724
167,0.757815
119,0.756773
124,0.702635
109,0.680302
104,0.660328
129,0.651623
149,0.651155
162,0.620756
134,0.617456
95,0.602544
144,0.579936
154,0.564732
99,0.5618
159,0.560434
36,0.550594
90,0.550437
139,0.53467
3,0.51975
100,0.518434
8,0.512721
46,0.508781
163,0.506015
157,0.499325
105,0.499101
18,0.496334
115,0.493456
51,0.487846
41,0.486454
13,0.485882
31,0.481808
86,0.478691
81,0.459935
56,0.459126
26,0.455232
158,0.448903
180,0.443176
110,0.430064
94,0.422092
164,0.421336
189,0.420755
21,0.420672
16,0.416611
116,0.413974
61,0.408645
120,0.400122
126,0.396985
190,0.396718
121,0.394982
153,0.385848
175,0.380446
71,0.371871
23,0.367887
91,0.364171
76,0.350903
151,0.340396
152,0.337388
11,0.337248
132,0.33656
35,0.329286
85,0.326702
66,0.326413
168,0.322059
89,0.321633
111,0.318246
131,0.317399
40,0.316684
185,0.314344
84,0.310499
169,0.301733
82,0.3011
